itm_no_item|INVALID ITEM 
itm_nordic_fighter_helmet|护 法 冠
itm_nordic_fighter_helmet_pl|护 法 冠
itm_nordic_huscarl_helmet|护 法 冠
itm_nordic_huscarl_helmet_pl|护 法 冠
itm_nordic_warlord_helmet|护 法 冠
itm_nordic_warlord_helmet_pl|护 法 冠
itm_vaegir_fur_cap|护 法 冠
itm_vaegir_fur_cap_pl|护 法 冠
itm_vaegir_fur_helmet|护 法 冠
itm_vaegir_fur_helmet_pl|护 法 冠
itm_vaegir_spiked_helmet|破 阵 长 兵
itm_vaegir_spiked_helmet_pl|破 阵 长 兵
itm_vaegir_lamellar_helmet|护 法 冠
itm_vaegir_lamellar_helmet_pl|护 法 冠
itm_vaegir_noble_helmet|护 法 冠
itm_vaegir_noble_helmet_pl|护 法 冠
itm_vaegir_war_helmet|护 法 冠
itm_vaegir_war_helmet_pl|护 法 冠
itm_vaegir_mask|维 基 亚 面 具 战 盔
itm_vaegir_mask_pl|维 基 亚 面 具 战 盔
itm_bascinet|尖 顶 盔
itm_bascinet_pl|尖 顶 盔
itm_bascinet_2|带 面 罩 尖 顶 盔
itm_bascinet_2_pl|带 面 罩 尖 顶 盔
itm_bascinet_3|带 护 鼻 尖 顶 盔
itm_bascinet_3_pl|带 护 鼻 尖 顶 盔
itm_guard_helmet|护 法 冠
itm_guard_helmet_pl|护 法 冠
itm_black_helmet|护 法 冠
itm_black_helmet_pl|护 法 冠
itm_full_helm|护 法 冠
itm_full_helm_pl|护 法 冠
itm_great_helmet|护 法 冠
itm_great_helmet_pl|护 法 冠
itm_winged_great_helmet|护 法 冠
itm_winged_great_helmet_pl|护 法 冠
itm_wooden_stick|木 枝
itm_wooden_stick_pl|木 枝
itm_cudgel|短 棍
itm_cudgel_pl|短 棍
itm_hammer|镇 山 钝 器
itm_hammer_pl|镇 山 钝 器
itm_club|镇 山 钝 器
itm_club_pl|镇 山 钝 器
itm_winged_mace|镇 山 钝 器
itm_winged_mace_pl|镇 山 钝 器
itm_spiked_mace|破 阵 长 兵
itm_spiked_mace_pl|破 阵 长 兵
itm_military_hammer|镇 山 钝 器
itm_military_hammer_pl|镇 山 钝 器
itm_maul|木 锤
itm_maul_pl|木 锤
itm_sledgehammer|镇 山 钝 器
itm_sledgehammer_pl|镇 山 钝 器
itm_warhammer|镇 山 钝 器
itm_warhammer_pl|镇 山 钝 器
itm_pickaxe|破 山 战 斧
itm_pickaxe_pl|破 山 战 斧
itm_spiked_club|破 阵 长 兵
itm_spiked_club_pl|破 阵 长 兵
itm_fighting_pick|镇 山 钝 器
itm_fighting_pick_pl|镇 山 钝 器
itm_military_pick|镇 山 钝 器
itm_military_pick_pl|镇 山 钝 器
itm_morningstar|钉 头 锤
itm_morningstar_pl|钉 头 锤
itm_sickle|镰 刀
itm_sickle_pl|镰 刀
itm_cleaver|破 山 战 斧
itm_cleaver_pl|破 山 战 斧
itm_knife|制 式 法 剑
itm_knife_pl|制 式 法 剑
itm_butchering_knife|制 式 法 剑
itm_butchering_knife_pl|制 式 法 剑
itm_dagger|制 式 法 剑
itm_dagger_pl|制 式 法 剑
itm_falchion|单 刀
itm_falchion_pl|单 刀
itm_scimitar|制 式 法 剑
itm_scimitar_pl|制 式 法 剑
itm_scimitar_b|制 式 法 剑
itm_scimitar_b_pl|制 式 法 剑
itm_arabian_sword_a|制 式 法 剑
itm_arabian_sword_a_pl|制 式 法 剑
itm_arabian_sword_b|制 式 法 剑
itm_arabian_sword_b_pl|制 式 法 剑
itm_sarranid_cavalry_sword|制 式 法 剑
itm_sarranid_cavalry_sword_pl|制 式 法 剑
itm_arabian_sword_d|制 式 法 剑
itm_arabian_sword_d_pl|制 式 法 剑
itm_great_sword|制 式 法 剑
itm_great_sword_pl|制 式 法 剑
itm_sword_of_war|制 式 法 剑
itm_sword_of_war_pl|制 式 法 剑
itm_hatchet|护 法 冠
itm_hatchet_pl|护 法 冠
itm_hand_axe|破 山 战 斧
itm_hand_axe_pl|破 山 战 斧
itm_fighting_axe|破 山 战 斧
itm_fighting_axe_pl|破 山 战 斧
itm_axe|破 山 战 斧
itm_axe_pl|破 山 战 斧
itm_voulge|长 柄 砍 刀
itm_voulge_pl|长 柄 砍 刀
itm_battle_axe|破 山 战 斧
itm_battle_axe_pl|破 山 战 斧
itm_war_axe|破 山 战 斧
itm_war_axe_pl|破 山 战 斧
itm_sword_two_handed_b|制 式 法 剑
itm_sword_two_handed_b_pl|制 式 法 剑
itm_sword_two_handed_a|制 式 法 剑
itm_sword_two_handed_a_pl|制 式 法 剑
itm_khergit_sword_two_handed_a|制 式 法 剑
itm_khergit_sword_two_handed_a_pl|制 式 法 剑
itm_khergit_sword_two_handed_b|制 式 法 剑
itm_khergit_sword_two_handed_b_pl|制 式 法 剑
itm_two_handed_cleaver|破 山 战 斧
itm_two_handed_cleaver_pl|破 山 战 斧
itm_military_cleaver_b|破 山 战 斧
itm_military_cleaver_b_pl|破 山 战 斧
itm_military_cleaver_c|破 山 战 斧
itm_military_cleaver_c_pl|破 山 战 斧
itm_military_sickle_a|军 用 镰 刀
itm_military_sickle_a_pl|军 用 镰 刀
itm_bastard_sword_a|制 式 法 剑
itm_bastard_sword_a_pl|制 式 法 剑
itm_bastard_sword_b|制 式 法 剑
itm_bastard_sword_b_pl|制 式 法 剑
itm_one_handed_war_axe_a|破 山 战 斧
itm_one_handed_war_axe_a_pl|破 山 战 斧
itm_one_handed_battle_axe_a|破 山 战 斧
itm_one_handed_battle_axe_a_pl|破 山 战 斧
itm_one_handed_war_axe_b|破 山 战 斧
itm_one_handed_war_axe_b_pl|破 山 战 斧
itm_one_handed_battle_axe_b|破 山 战 斧
itm_one_handed_battle_axe_b_pl|破 山 战 斧
itm_one_handed_battle_axe_c|破 山 战 斧
itm_one_handed_battle_axe_c_pl|破 山 战 斧
itm_two_handed_axe|破 山 战 斧
itm_two_handed_axe_pl|破 山 战 斧
itm_two_handed_battle_axe_2|破 山 战 斧
itm_two_handed_battle_axe_2_pl|破 山 战 斧
itm_shortened_voulge|短 柄 砍 刀
itm_shortened_voulge_pl|短 柄 砍 刀
itm_great_axe|破 山 战 斧
itm_great_axe_pl|破 山 战 斧
itm_long_axe|破 山 战 斧
itm_long_axe_pl|破 山 战 斧
itm_long_axe_alt|破 山 战 斧
itm_long_axe_alt_pl|破 山 战 斧
itm_long_axe_b|破 山 战 斧
itm_long_axe_b_pl|破 山 战 斧
itm_long_axe_b_alt|破 山 战 斧
itm_long_axe_b_alt_pl|破 山 战 斧
itm_long_axe_c|破 山 战 斧
itm_long_axe_c_pl|破 山 战 斧
itm_long_axe_c_alt|破 山 战 斧
itm_long_axe_c_alt_pl|破 山 战 斧
itm_bardiche|月 刃 斧
itm_bardiche_pl|月 刃 斧
itm_great_bardiche|巨 型 月 刃 斧
itm_great_bardiche_pl|巨 型 月 刃 斧
itm_long_bardiche|长 月 刃 斧
itm_long_bardiche_pl|长 月 刃 斧
itm_great_long_bardiche|巨 型 长 月 刃 斧
itm_great_long_bardiche_pl|巨 型 长 月 刃 斧
itm_hafted_blade_b|制 式 法 剑
itm_hafted_blade_b_pl|制 式 法 剑
itm_hafted_blade_a|制 式 法 剑
itm_hafted_blade_a_pl|制 式 法 剑
itm_shortened_military_scythe|短 柄 军 用 镰
itm_shortened_military_scythe_pl|短 柄 军 用 镰
itm_sword_medieval_a|制 式 法 剑
itm_sword_medieval_a_pl|制 式 法 剑
itm_sword_medieval_b|制 式 法 剑
itm_sword_medieval_b_pl|制 式 法 剑
itm_sword_medieval_b_small|制 式 法 剑
itm_sword_medieval_b_small_pl|制 式 法 剑
itm_sword_medieval_c|制 式 法 剑
itm_sword_medieval_c_pl|制 式 法 剑
itm_sword_medieval_c_small|制 式 法 剑
itm_sword_medieval_c_small_pl|制 式 法 剑
itm_sword_medieval_c_long|制 式 法 剑
itm_sword_medieval_c_long_pl|制 式 法 剑
itm_sword_medieval_d_long|制 式 法 剑
itm_sword_medieval_d_long_pl|制 式 法 剑
itm_sword_viking_1|制 式 法 剑
itm_sword_viking_1_pl|制 式 法 剑
itm_sword_viking_2|制 式 法 剑
itm_sword_viking_2_pl|制 式 法 剑
itm_sword_viking_2_small|制 式 法 剑
itm_sword_viking_2_small_pl|制 式 法 剑
itm_sword_viking_3|制 式 法 剑
itm_sword_viking_3_pl|制 式 法 剑
itm_sword_viking_3_small|制 式 法 剑
itm_sword_viking_3_small_pl|制 式 法 剑
itm_sword_khergit_1|制 式 法 剑
itm_sword_khergit_1_pl|制 式 法 剑
itm_sword_khergit_2|制 式 法 剑
itm_sword_khergit_2_pl|制 式 法 剑
itm_sword_khergit_3|制 式 法 剑
itm_sword_khergit_3_pl|制 式 法 剑
itm_sword_khergit_4|制 式 法 剑
itm_sword_khergit_4_pl|制 式 法 剑
itm_mace_1|镇 山 钝 器
itm_mace_1_pl|镇 山 钝 器
itm_mace_2|镇 山 钝 器
itm_mace_2_pl|镇 山 钝 器
itm_mace_3|镇 山 钝 器
itm_mace_3_pl|镇 山 钝 器
itm_mace_4|镇 山 钝 器
itm_mace_4_pl|镇 山 钝 器
itm_club_with_spike_head|破 阵 长 兵
itm_club_with_spike_head_pl|破 阵 长 兵
itm_long_spiked_club|破 阵 长 兵
itm_long_spiked_club_pl|破 阵 长 兵
itm_long_hafted_knobbed_mace|镇 山 钝 器
itm_long_hafted_knobbed_mace_pl|镇 山 钝 器
itm_long_hafted_spiked_mace|破 阵 长 兵
itm_long_hafted_spiked_mace_pl|破 阵 长 兵
itm_sarranid_two_handed_mace_1|镇 山 钝 器
itm_sarranid_two_handed_mace_1_pl|镇 山 钝 器
itm_sarranid_mace_1|镇 山 钝 器
itm_sarranid_mace_1_pl|镇 山 钝 器
itm_sarranid_axe_a|破 山 战 斧
itm_sarranid_axe_a_pl|破 山 战 斧
itm_sarranid_axe_b|破 山 战 斧
itm_sarranid_axe_b_pl|破 山 战 斧
itm_sarranid_two_handed_axe_a|破 山 战 斧
itm_sarranid_two_handed_axe_a_pl|破 山 战 斧
itm_sarranid_two_handed_axe_b|破 山 战 斧
itm_sarranid_two_handed_axe_b_pl|破 山 战 斧
itm_scythe|长 柄 镰 刀
itm_scythe_pl|长 柄 镰 刀
itm_pitch_fork|耙 子
itm_pitch_fork_pl|耙 子
itm_military_fork|破 阵 长 兵
itm_military_fork_pl|破 阵 长 兵
itm_battle_fork|战 斗 叉
itm_battle_fork_pl|战 斗 叉
itm_boar_spear|破 阵 长 兵
itm_boar_spear_pl|破 阵 长 兵
itm_jousting_lance|破 阵 长 兵
itm_jousting_lance_pl|破 阵 长 兵
itm_double_sided_lance|破 阵 长 兵
itm_double_sided_lance_pl|破 阵 长 兵
itm_glaive|破 阵 长 兵
itm_glaive_pl|破 阵 长 兵
itm_poleaxe|破 山 战 斧
itm_poleaxe_pl|破 山 战 斧
itm_polehammer|镇 山 钝 器
itm_polehammer_pl|镇 山 钝 器
itm_staff|破 阵 长 兵
itm_staff_pl|破 阵 长 兵
itm_quarter_staff|破 阵 长 兵
itm_quarter_staff_pl|破 阵 长 兵
itm_iron_staff|破 阵 长 兵
itm_iron_staff_pl|破 阵 长 兵
itm_shortened_spear|破 阵 长 兵
itm_shortened_spear_pl|破 阵 长 兵
itm_spear|破 阵 长 兵
itm_spear_pl|破 阵 长 兵
itm_bamboo_spear|破 阵 长 兵
itm_bamboo_spear_pl|破 阵 长 兵
itm_war_spear|破 阵 长 兵
itm_war_spear_pl|破 阵 长 兵
itm_military_scythe|军 用 镰
itm_military_scythe_pl|军 用 镰
itm_light_lance|破 阵 长 兵
itm_light_lance_pl|破 阵 长 兵
itm_lance|破 阵 长 兵
itm_lance_pl|破 阵 长 兵
itm_heavy_lance|破 阵 长 兵
itm_heavy_lance_pl|破 阵 长 兵
itm_great_lance|破 阵 长 兵
itm_great_lance_pl|破 阵 长 兵
itm_pike|破 阵 长 兵
itm_pike_pl|破 阵 长 兵
itm_ashwood_pike|破 阵 长 兵
itm_ashwood_pike_pl|破 阵 长 兵
itm_awlpike|破 阵 长 兵
itm_awlpike_pl|破 阵 长 兵
itm_awlpike_long|破 阵 长 兵
itm_awlpike_long_pl|破 阵 长 兵
itm_bec_de_corbin_a|战 锤
itm_bec_de_corbin_a_pl|战 锤
itm_wooden_shield|护 身 法 盾
itm_wooden_shield_pl|护 身 法 盾
itm_nordic_shield|护 身 法 盾
itm_nordic_shield_pl|护 身 法 盾
itm_fur_covered_shield|护 身 法 盾
itm_fur_covered_shield_pl|护 身 法 盾
itm_steel_shield|护 身 法 盾
itm_steel_shield_pl|护 身 法 盾
itm_plate_covered_round_shield|护 身 法 盾
itm_plate_covered_round_shield_pl|护 身 法 盾
itm_leather_covered_round_shield|护 身 法 盾
itm_leather_covered_round_shield_pl|护 身 法 盾
itm_hide_covered_round_shield|护 身 法 盾
itm_hide_covered_round_shield_pl|护 身 法 盾
itm_shield_heater_c|护 身 法 盾
itm_shield_heater_c_pl|护 身 法 盾
itm_norman_shield_1|护 身 法 盾
itm_norman_shield_1_pl|护 身 法 盾
itm_norman_shield_2|护 身 法 盾
itm_norman_shield_2_pl|护 身 法 盾
itm_norman_shield_3|护 身 法 盾
itm_norman_shield_3_pl|护 身 法 盾
itm_norman_shield_4|护 身 法 盾
itm_norman_shield_4_pl|护 身 法 盾
itm_norman_shield_5|护 身 法 盾
itm_norman_shield_5_pl|护 身 法 盾
itm_norman_shield_6|护 身 法 盾
itm_norman_shield_6_pl|护 身 法 盾
itm_norman_shield_7|护 身 法 盾
itm_norman_shield_7_pl|护 身 法 盾
itm_norman_shield_8|护 身 法 盾
itm_norman_shield_8_pl|护 身 法 盾
itm_tab_shield_round_a|护 身 法 盾
itm_tab_shield_round_a_pl|护 身 法 盾
itm_tab_shield_round_b|护 身 法 盾
itm_tab_shield_round_b_pl|护 身 法 盾
itm_tab_shield_round_c|护 身 法 盾
itm_tab_shield_round_c_pl|护 身 法 盾
itm_tab_shield_round_d|护 身 法 盾
itm_tab_shield_round_d_pl|护 身 法 盾
itm_tab_shield_round_e|护 身 法 盾
itm_tab_shield_round_e_pl|护 身 法 盾
itm_tab_shield_kite_a|护 身 法 盾
itm_tab_shield_kite_a_pl|护 身 法 盾
itm_tab_shield_kite_b|护 身 法 盾
itm_tab_shield_kite_b_pl|护 身 法 盾
itm_tab_shield_kite_c|护 身 法 盾
itm_tab_shield_kite_c_pl|护 身 法 盾
itm_tab_shield_kite_d|护 身 法 盾
itm_tab_shield_kite_d_pl|护 身 法 盾
itm_tab_shield_kite_cav_a|护 身 法 盾
itm_tab_shield_kite_cav_a_pl|护 身 法 盾
itm_tab_shield_kite_cav_b|护 身 法 盾
itm_tab_shield_kite_cav_b_pl|护 身 法 盾
itm_tab_shield_heater_a|护 身 法 盾
itm_tab_shield_heater_a_pl|护 身 法 盾
itm_tab_shield_heater_b|护 身 法 盾
itm_tab_shield_heater_b_pl|护 身 法 盾
itm_tab_shield_heater_c|护 身 法 盾
itm_tab_shield_heater_c_pl|护 身 法 盾
itm_tab_shield_heater_d|护 身 法 盾
itm_tab_shield_heater_d_pl|护 身 法 盾
itm_tab_shield_heater_cav_a|护 身 法 盾
itm_tab_shield_heater_cav_a_pl|护 身 法 盾
itm_tab_shield_heater_cav_b|护 身 法 盾
itm_tab_shield_heater_cav_b_pl|护 身 法 盾
itm_tab_shield_pavise_a|护 身 法 盾
itm_tab_shield_pavise_a_pl|护 身 法 盾
itm_tab_shield_pavise_b|护 身 法 盾
itm_tab_shield_pavise_b_pl|护 身 法 盾
itm_tab_shield_pavise_c|护 身 法 盾
itm_tab_shield_pavise_c_pl|护 身 法 盾
itm_tab_shield_pavise_d|护 身 法 盾
itm_tab_shield_pavise_d_pl|护 身 法 盾
itm_tab_shield_small_round_a|护 身 法 盾
itm_tab_shield_small_round_a_pl|护 身 法 盾
itm_tab_shield_small_round_b|护 身 法 盾
itm_tab_shield_small_round_b_pl|护 身 法 盾
itm_tab_shield_small_round_c|护 身 法 盾
itm_tab_shield_small_round_c_pl|护 身 法 盾
itm_darts|飞 符 投 刃
itm_darts_pl|飞 符 投 刃
itm_war_darts|飞 符 投 刃
itm_war_darts_pl|飞 符 投 刃
itm_javelin|飞 符 投 刃
itm_javelin_pl|飞 符 投 刃
itm_javelin_melee|飞 符 投 刃
itm_javelin_melee_pl|飞 符 投 刃
itm_throwing_spears|破 阵 长 兵
itm_throwing_spears_pl|破 阵 长 兵
itm_throwing_spear_melee|破 阵 长 兵
itm_throwing_spear_melee_pl|破 阵 长 兵
itm_jarid|飞 符 投 刃
itm_jarid_pl|飞 符 投 刃
itm_jarid_melee|飞 符 投 刃
itm_jarid_melee_pl|飞 符 投 刃
itm_stones|石 子
itm_stones_pl|石 子
itm_throwing_knives|飞 符 投 刃
itm_throwing_knives_pl|飞 符 投 刃
itm_throwing_daggers|制 式 法 剑
itm_throwing_daggers_pl|制 式 法 剑
itm_light_throwing_axes|破 山 战 斧
itm_light_throwing_axes_pl|破 山 战 斧
itm_light_throwing_axes_melee|破 山 战 斧
itm_light_throwing_axes_melee_pl|破 山 战 斧
itm_throwing_axes|破 山 战 斧
itm_throwing_axes_pl|破 山 战 斧
itm_throwing_axes_melee|破 山 战 斧
itm_throwing_axes_melee_pl|破 山 战 斧
itm_heavy_throwing_axes|破 山 战 斧
itm_heavy_throwing_axes_pl|破 山 战 斧
itm_heavy_throwing_axes_melee|破 山 战 斧
itm_heavy_throwing_axes_melee_pl|破 山 战 斧
itm_hunting_bow|灵 木 弓
itm_hunting_bow_pl|灵 木 弓
itm_short_bow|灵 木 弓
itm_short_bow_pl|灵 木 弓
itm_nomad_bow|灵 木 弓
itm_nomad_bow_pl|灵 木 弓
itm_long_bow|灵 木 弓
itm_long_bow_pl|灵 木 弓
itm_khergit_bow|灵 木 弓
itm_khergit_bow_pl|灵 木 弓
itm_strong_bow|灵 木 弓
itm_strong_bow_pl|灵 木 弓
itm_war_bow|灵 木 弓
itm_war_bow_pl|灵 木 弓
itm_hunting_crossbow|机 括 灵 弩
itm_hunting_crossbow_pl|机 括 灵 弩
itm_light_crossbow|机 括 灵 弩
itm_light_crossbow_pl|机 括 灵 弩
itm_crossbow|机 括 灵 弩
itm_crossbow_pl|机 括 灵 弩
itm_heavy_crossbow|机 括 灵 弩
itm_heavy_crossbow_pl|机 括 灵 弩
itm_sniper_crossbow|机 括 灵 弩
itm_sniper_crossbow_pl|机 括 灵 弩
itm_flintlock_pistol|燧 石 发 火 手 枪
itm_flintlock_pistol_pl|燧 石 发 火 手 枪
itm_torch|火 把
itm_torch_pl|火 把
itm_lyre|里 拉 琴
itm_lyre_pl|里 拉 琴
itm_lute|鲁 特 琴
itm_lute_pl|鲁 特 琴
itm_strange_armor|护 身 灵 甲
itm_strange_armor_pl|护 身 灵 甲
itm_strange_boots|行 云 战 靴
itm_strange_boots_pl|行 云 战 靴
itm_strange_helmet|护 法 冠
itm_strange_helmet_pl|护 法 冠
itm_strange_sword|制 式 法 剑
itm_strange_sword_pl|制 式 法 剑
itm_strange_great_sword|制 式 法 剑
itm_strange_great_sword_pl|制 式 法 剑
itm_strange_short_sword|制 式 法 剑
itm_strange_short_sword_pl|制 式 法 剑
itm_court_dress|修 士 行 袍
itm_court_dress_pl|修 士 行 袍
itm_rich_outfit|修 士 行 袍
itm_rich_outfit_pl|修 士 行 袍
itm_khergit_guard_armor|护 身 灵 甲
itm_khergit_guard_armor_pl|护 身 灵 甲
itm_felt_steppe_cap|护 法 冠
itm_felt_steppe_cap_pl|护 法 冠
itm_khergit_war_helmet|护 法 冠
itm_khergit_war_helmet_pl|护 法 冠
itm_khergit_helmet|护 法 冠
itm_khergit_helmet_pl|护 法 冠
itm_khergit_guard_boots|行 云 战 靴
itm_khergit_guard_boots_pl|行 云 战 靴
itm_khergit_guard_helmet|护 法 冠
itm_khergit_guard_helmet_pl|护 法 冠
itm_khergit_cavalry_helmet|护 法 冠
itm_khergit_cavalry_helmet_pl|护 法 冠
itm_black_hood|护 法 冠
itm_black_hood_pl|护 法 冠
itm_light_leather|轻 皮 甲
itm_light_leather_pl|轻 皮 甲
itm_light_leather_boots|行 云 战 靴
itm_light_leather_boots_pl|行 云 战 靴
itm_mail_and_plate|玄 铁 战 甲
itm_mail_and_plate_pl|玄 铁 战 甲
itm_light_mail_and_plate|玄 铁 战 甲
itm_light_mail_and_plate_pl|玄 铁 战 甲
itm_byzantion_helmet_a|护 法 冠
itm_byzantion_helmet_a_pl|护 法 冠
itm_magyar_helmet_a|护 法 冠
itm_magyar_helmet_a_pl|护 法 冠
itm_rus_helmet_a|护 法 冠
itm_rus_helmet_a_pl|护 法 冠
itm_sipahi_helmet_a|护 法 冠
itm_sipahi_helmet_a_pl|护 法 冠
itm_shahi|萨 希
itm_shahi_pl|萨 希
itm_rabati|拉 巴 特
itm_rabati_pl|拉 巴 特
itm_tunic_with_green_cape|护 法 冠
itm_tunic_with_green_cape_pl|护 法 冠
itm_keys|钥 匙 串
itm_keys_pl|钥 匙 串
itm_bride_dress|修 士 行 袍
itm_bride_dress_pl|修 士 行 袍
itm_bride_crown|花 冠
itm_bride_crown_pl|花 冠
itm_bride_shoes|行 云 战 靴
itm_bride_shoes_pl|行 云 战 靴
itm_practice_bow_2|灵 木 弓
itm_practice_bow_2_pl|灵 木 弓
itm_practice_arrows_2|符 羽 箭
itm_practice_arrows_2_pl|符 羽 箭
itm_plate_boots|行 云 战 靴
itm_plate_boots_pl|行 云 战 靴
itm_mail_boots_for_tableau|行 云 战 靴
itm_mail_boots_for_tableau_pl|行 云 战 靴
itm_warhorse_sarranid|披 甲 战 马
itm_warhorse_sarranid_pl|披 甲 战 马
itm_warhorse_steppe|披 甲 战 马
itm_warhorse_steppe_pl|披 甲 战 马
itm_items_end|Items End 
itm_items_end_pl|Items End 
itm_yc_book_sword_sutra|《 青 云 剑 经 》
itm_yc_book_sword_sutra_pl|《 青 云 剑 经 》
itm_yc_book_wangqi|《 望 气 杂 录 》
itm_yc_book_wangqi_pl|《 望 气 杂 录 》
itm_yc_book_array|《 器 道 入 门 》
itm_yc_book_array_pl|《 器 道 入 门 》
itm_yc_book_body|《 血 祭 魔 典 》
itm_yc_book_body_pl|《 血 祭 魔 典 》
itm_yc_book_soul|《 灵 符 秘 录 》
itm_yc_book_soul_pl|《 灵 符 秘 录 》
itm_yc_book_alchemy|《 天 工 丹 经 》
itm_yc_book_alchemy_pl|《 天 工 丹 经 》
itm_yc_book_mixed|《 万 法 归 宗 》
itm_yc_book_mixed_pl|《 万 法 归 宗 》
itm_yc_book_command|《 役 灵 军 阵 》
itm_yc_book_command_pl|《 役 灵 军 阵 》
itm_yc_peiyu_dan|培 元 丹
itm_yc_peiyu_dan_pl|培 元 丹
itm_yc_juki_dan|聚 气 丹
itm_yc_juki_dan_pl|聚 气 丹
itm_yc_tupo_dan|突 破 辅 助 丹
itm_yc_tupo_dan_pl|突 破 辅 助 丹
itm_yc_baoyuan_dan|保 元 丹
itm_yc_baoyuan_dan_pl|保 元 丹
itm_yc_juyun_dan|聚 运 丹
itm_yc_juyun_dan_pl|聚 运 丹
itm_yc_bigou_dan|辟 谷 丹
itm_yc_bigou_dan_pl|辟 谷 丹
itm_yc_qizhuan_dan|七 转 金 丹
itm_yc_qizhuan_dan_pl|七 转 金 丹
itm_yc_lingshi|灵 石
itm_yc_lingshi_pl|灵 石
itm_yc_lingshi_high|上 品 灵 石
itm_yc_lingshi_high_pl|上 品 灵 石
itm_yc_yaodang|妖 丹
itm_yc_yaodang_pl|妖 丹
itm_yc_qiyun_crystal|气 运 结 晶
itm_yc_qiyun_crystal_pl|气 运 结 晶
itm_yc_lingzhu|灵 珠
itm_yc_lingzhu_pl|灵 珠
itm_yc_qingyun_token|青 云 令 牌
itm_yc_qingyun_token_pl|青 云 令 牌
itm_yc_taiyi_token|太 一 令 牌
itm_yc_taiyi_token_pl|太 一 令 牌
itm_yc_jade_transmission|传 承 玉 简
itm_yc_jade_transmission_pl|传 承 玉 简
itm_yc_baishuang_sword|白 霜 的 飞 剑
itm_yc_baishuang_sword_pl|白 霜 的 飞 剑
itm_yc_zongmen_horse|宗 门 战 马
itm_yc_zongmen_horse_pl|宗 门 战 马
itm_yc_chitu_horse|赤 兔 名 驹
itm_yc_chitu_horse_pl|赤 兔 名 驹
itm_yc_tianzhao_horse|天 照 神 骑
itm_yc_tianzhao_horse_pl|天 照 神 骑
itm_yc_sect_robe_outer|宗 门 道 袍 · 外 门
itm_yc_sect_robe_outer_pl|宗 门 道 袍 · 外 门
itm_yc_sect_robe_inner|宗 门 道 袍 · 内 门
itm_yc_sect_robe_inner_pl|宗 门 道 袍 · 内 门
itm_yc_sect_robe_true|宗 门 道 袍 · 真 传
itm_yc_sect_robe_true_pl|宗 门 道 袍 · 真 传
itm_yc_elder_robe|宗 门 道 袍 · 长 老
itm_yc_elder_robe_pl|宗 门 道 袍 · 长 老
itm_yc_female_hanfu|汉 式 女 修 服
itm_yc_female_hanfu_pl|汉 式 女 修 服
itm_yc_imperial_armor|皇 庭 禁 卫 铠
itm_yc_imperial_armor_pl|皇 庭 禁 卫 铠
itm_yc_sect_boots|宗 门 战 靴
itm_yc_sect_boots_pl|宗 门 战 靴
itm_heraldic_mail_with_surcoat_for_tableau|玄 铁 战 甲
itm_heraldic_mail_with_surcoat_for_tableau_pl|玄 铁 战 甲
itm_javelin_bow|灵 木 弓
itm_javelin_bow_pl|灵 木 弓
itm_knockdown_mace|镇 山 钝 器
itm_knockdown_mace_pl|镇 山 钝 器
itm_blood_drain_throwing_knives|飞 符 投 刃
itm_blood_drain_throwing_knives_pl|飞 符 投 刃
itm_doom_javelins|飞 符 投 刃
itm_doom_javelins_pl|飞 符 投 刃
itm_disarming_throwing_axe|破 山 战 斧
itm_disarming_throwing_axe_pl|破 山 战 斧
itm_instakill_knife|制 式 法 剑
itm_instakill_knife_pl|制 式 法 剑
itm_weak_beserker_dart|飞 符 投 刃
itm_weak_beserker_dart_pl|飞 符 投 刃
itm_team_change_dart|飞 符 投 刃
itm_team_change_dart_pl|飞 符 投 刃
itm_awesome_spear|破 阵 长 兵
itm_awesome_spear_pl|破 阵 长 兵
itm_running_boots|行 云 战 靴
itm_running_boots_pl|行 云 战 靴
itm_power_gloves|护 腕 手 甲
itm_power_gloves_pl|护 腕 手 甲
itm_invulnerable_helmet|护 法 冠
itm_invulnerable_helmet_pl|护 法 冠
itm_kicking_boots|行 云 战 靴
itm_kicking_boots_pl|行 云 战 靴
itm_restore_health_armour|护 身 灵 甲
itm_restore_health_armour_pl|护 身 灵 甲
itm_javelin_bow_ammo|灵 木 弓
itm_javelin_bow_ammo_pl|灵 木 弓
itm_yc_taiyi_robe|太 一 法 袍
itm_yc_taiyi_robe_pl|太 一 法 袍
itm_yc_daozi_robe|道 子 玄 袍
itm_yc_daozi_robe_pl|道 子 玄 袍
itm_yc_sanxiu_robe|散 修 行 袍
itm_yc_sanxiu_robe_pl|散 修 行 袍
itm_yc_tianmo_armor|天 魔 玄 铁 甲
itm_yc_tianmo_armor_pl|天 魔 玄 铁 甲
itm_yc_shoujie_armor|守 劫 玄 甲
itm_yc_shoujie_armor_pl|守 劫 玄 甲
itm_yc_nanhuang_armor|南 荒 兽 纹 甲
itm_yc_nanhuang_armor_pl|南 荒 兽 纹 甲
itm_yc_ming_official_robe|人 皇 庭 官 服
itm_yc_ming_official_robe_pl|人 皇 庭 官 服
itm_yc_spell_sword_qi|剑 气 符
itm_yc_spell_sword_qi_pl|剑 气 符
itm_yc_spell_fire_talisman|爆 炎 符
itm_yc_spell_fire_talisman_pl|爆 炎 符
itm_yc_spell_ice_spike|寒 魄 冰 锥
itm_yc_spell_ice_spike_pl|寒 魄 冰 锥
